stop_nr;hum;temp;time;time_start;time_end;sensor_ID;round_nr
83;62.1;25.0;2021-08-05 18:54:59.984964;2021-08-05 18:54:51.130964;2021-08-05 18:55:01.138424;3;5
84;61.8;25.0;2021-08-05 18:55:18.034529;2021-08-05 18:55:09.902454;2021-08-05 18:55:19.910411;4;5
85;61.9;25.0;2021-08-05 18:55:38.087373;2021-08-05 18:55:28.645745;2021-08-05 18:55:38.654385;5;5
86;62.1;24.9;2021-08-05 18:55:56.133020;2021-08-05 18:55:47.928335;2021-08-05 18:55:57.938416;6;5
87;62.1;25.0;2021-08-05 18:56:14.182624;2021-08-05 18:56:05.195016;2021-08-05 18:56:15.202376;7;5
88;62.1;25.0;2021-08-05 18:56:32.228085;2021-08-05 18:56:22.254566;2021-08-05 18:56:32.265163;8;5
89;62.1;25.0;2021-08-05 18:56:48.270539;2021-08-05 18:56:38.906973;2021-08-05 18:56:48.914337;9;5
90;62.1;25.0;2021-08-05 18:57:04.312676;2021-08-05 18:56:55.048303;2021-08-05 18:57:05.058385;10;5
91;62.1;25.0;2021-08-05 18:57:20.354901;2021-08-05 18:57:10.985571;2021-08-05 18:57:20.995565;11;5
92;62.1;25.0;2021-08-05 18:57:36.397236;2021-08-05 18:57:27.996748;2021-08-05 18:57:38.006329;12;5
93;62.1;25.0;2021-08-05 18:57:52.272232;2021-08-05 18:57:44.162330;2021-08-05 18:57:54.170359;13;5
94;62.1;25.0;2021-08-05 19:00:06.537778;2021-08-05 18:59:58.519673;2021-08-05 19:00:08.526349;14;5
95;62.1;25.0;2021-08-05 19:00:24.584970;2021-08-05 19:00:16.019315;2021-08-05 19:00:26.026440;15;5
96;62.1;25.0;2021-08-05 19:00:40.619932;2021-08-05 19:00:32.061568;2021-08-05 19:00:42.072120;0;6
97;62.1;25.0;2021-08-05 19:01:06.677092;2021-08-05 19:00:57.968615;2021-08-05 19:01:07.978391;1;6
98;62.1;25.0;2021-08-05 19:01:24.719694;2021-08-05 19:01:15.333114;2021-08-05 19:01:25.342395;2;6
99;62.1;25.0;2021-08-05 19:01:40.758710;2021-08-05 19:01:32.492700;2021-08-05 19:01:42.502395;3;6
100;62.0;25.0;2021-08-05 19:01:56.797615;2021-08-05 19:01:48.573596;2021-08-05 19:01:58.582376;4;6
